"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"578" "mmu-miR-9-5p" 3770 2431 9883 13559 7682 21439 6878 4577 4895 28644 375 869 2537 1884 12205 22563 11885 10080 9191 9473 17726 2316 54417 7393
"579" "mmu-miR-92a-1-5p" 16 3 18 11 5 32 1 4 11 7 1 NA 3 NA NA NA 11 14 25 12 11 NA 56 32
"580" "mmu-miR-92a-3p" 200 85 935 476 182 762 111 123 162 210 74 13 51 11 425 378 290 373 414 253 469 185 765 579
"581" "mmu-miR-92b-3p" 16 8 174 38 29 77 50 9 8 15 17 NA 6 9 NA 29 28 6 29 8 22 16 71 48
"582" "mmu-miR-93-3p" 3 1 9 3 9 11 NA 5 10 2 1 NA 2 NA NA NA 4 35 7 8 8 NA 13 4
"583" "mmu-miR-93-5p" 1908 376 2429 4002 1508 5602 1673 1691 1613 1319 255 149 617 311 2508 2435 3201 2654 2131 2169 3895 1857 5179 2870
"584" "mmu-miR-935" 3 NA 1 7 NA 2 NA 2 1 NA NA NA NA NA NA NA 3 NA 1 NA 2 NA 5 NA
"585" "mmu-miR-96-3p" 28 1 12 22 3 23 NA 7 7 4 1 NA 6 4 NA NA 2 NA 12 20 11 NA 44 21
"586" "mmu-miR-96-5p" 8464 718 6965 3341 2557 3737 1396 1170 1061 1267 119 180 664 337 2664 928 1755 3809 2618 3050 3244 1487 3702 2827
"587" "mmu-miR-98-3p" 24 1 17 34 5 53 NA 12 8 19 3 NA 5 NA NA 28 19 19 13 8 44 12 25 23
"588" "mmu-miR-98-5p" 3574 469 3688 2671 1549 7514 1261 1575 1648 4149 142 218 529 221 2278 1904 2285 3557 2232 3388 8683 2783 5419 2814
"589" "mmu-miR-99a-5p" 20156 5195 43077 28038 15810 48987 5995 14723 13167 6155 3400 1367 6092 2001 20910 21950 22426 18706 30355 18687 27493 22228 47743 47673
"590" "mmu-miR-99b-3p" 71 10 117 49 39 133 NA 23 29 74 6 3 16 2 96 37 75 93 60 48 106 16 176 49
"591" "mmu-miR-99b-5p" 6696 1120 9748 4346 3899 8441 3020 3166 2096 2837 1043 374 1530 514 7465 5123 6285 5455 4429 3881 5327 2847 11592 13802
"592" "mmu-miR-1291" NA 1 NA 6 5 10 NA 1 3 1 2 NA 2 4 NA 5 8 NA 7 NA 11 NA 15 13
"593" "mmu-miR-130a-5p" NA 2 NA NA 6 1 NA 2 NA 5 NA NA NA NA NA 6 3 NA 1 NA 2 NA 4 7
"594" "mmu-miR-132-5p" NA 3 20 11 8 27 NA 5 8 12 3 NA 3 4 NA 4 13 13 17 10 19 NA 10 5
"595" "mmu-miR-181b-2-3p" NA 1 2 NA NA 3 NA 6 2 NA NA NA NA NA NA 2 1 NA NA NA 2 NA 3 25
"596" "mmu-miR-1945" NA 1 4 7 NA 6 NA NA 1 2 NA NA NA NA NA NA 6 NA 2 2 3 NA 10 8
"597" "mmu-miR-1964-3p" NA 1 NA 5 NA 5 NA NA NA 2 NA NA NA NA NA 7 4 NA 1 NA 9 NA 4 NA
"598" "mmu-miR-216b-5p" NA 1 NA 5 NA 6 NA 5 1 NA NA NA NA NA NA NA 5 NA 5 NA 1 12 10 NA
"599" "mmu-miR-25-5p" NA 4 NA 4 NA 7 NA NA NA 8 1 NA NA NA NA NA NA NA NA NA 4 NA 4 NA
"600" "mmu-miR-296-3p" NA 1 NA 1 NA 5 NA NA NA NA NA NA NA NA NA 3 NA NA NA NA 2 NA NA NA
"601" "mmu-miR-3061-3p" NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14 NA NA NA NA 1 NA
"602" "mmu-miR-374c-5p" NA 2 4 8 4 13 NA NA 2 3 NA 1 NA NA NA NA 5 NA 1 3 6 31 5 14
"603" "mmu-miR-425-3p" NA 3 NA 2 3 14 1 3 6 2 NA 1 1 NA NA NA 4 15 2 NA 4 23 11 17
"604" "mmu-miR-465d-5p" NA 1 NA 2 NA NA NA NA NA 1 NA NA NA NA 1 NA 4 6 NA NA 2 NA 2 1
"605" "mmu-miR-466i-5p" NA 2 11 NA 4 5 NA NA 1 4 NA NA NA NA NA 1 1 NA NA NA 4 NA NA NA
"606" "mmu-miR-467b-3p" NA 1 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA 1 NA NA 1 NA 4 NA
"607" "mmu-miR-486b-3p" NA 3 NA 1 NA 6 NA 1 1 NA NA NA 5 NA NA NA NA NA NA NA 1 NA NA 1
"608" "mmu-miR-490-3p" NA 2 NA 2 1 2 NA NA NA NA NA NA NA NA NA NA 1 NA 2 NA NA NA 2 4
"609" "mmu-miR-505-3p" NA 2 3 12 6 6 NA 2 1 NA NA NA 3 NA NA NA 8 19 4 3 12 NA 12 4
"610" "mmu-miR-582-5p" NA 2 NA 8 6 9 NA 4 3 30 2 NA 1 NA NA NA 2 NA 6 4 5 NA 31 5
"611" "mmu-miR-666-3p" NA 2 15 NA NA NA NA 1 1 NA NA NA NA NA NA 7 1 NA NA NA NA NA 2 NA
"612" "mmu-miR-6921-3p" NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"613" "mmu-miR-6924-5p" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"614" "mmu-miR-6988-3p" NA 2 NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA NA
"615" "mmu-miR-6994-3p" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA
"616" "mmu-miR-7015-3p" NA 1 NA NA 6 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7
"617" "mmu-miR-702-3p" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 4 NA
"618" "mmu-miR-7063-5p" NA 3 NA 1 NA 2 NA NA NA NA NA NA NA NA NA 8 2 NA NA NA NA NA NA NA
"619" "mmu-miR-7210-5p" NA 1 21 5 NA 4 NA NA 2 7 NA NA NA NA NA 9 10 NA 13 8 5 27 15 3
"620" "mmu-miR-7214-3p" NA 1 NA 1 NA 1 NA NA 2 1 NA NA NA NA NA 5 2 NA 1 NA 1 NA NA NA
"621" "mmu-miR-7240-5p" NA 1 9 NA NA NA NA NA NA 3 NA NA NA 2 NA 1 NA NA NA NA 4 9 3 NA
"622" "mmu-miR-7649-3p" NA 2 NA NA 2 1 NA 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 5 NA
"623" "mmu-miR-874-5p" NA 1 32 3 NA NA NA NA 1 NA NA NA NA NA NA NA 3 NA NA NA NA NA 1 NA
"624" "mmu-miR-877-3p" NA 1 2 2 NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA 1 1
"625" "mmu-let-7k" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"626" "mmu-miR-12205-3p" NA NA 7 NA NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 3 NA
"627" "mmu-miR-12205-5p" NA NA 7 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"628" "mmu-miR-1247-3p" NA NA 8 6 NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA 1 4
"629" "mmu-miR-145b" NA NA 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"630" "mmu-miR-150-3p" NA NA 25 1 3 1 NA 6 NA NA NA NA NA NA NA NA 2 NA NA 3 2 NA NA NA
"631" "mmu-miR-18b-5p" NA NA 2 NA NA NA NA 2 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 1 NA
"632" "mmu-miR-1927" NA NA 20 NA NA NA NA NA NA 2 NA NA NA NA NA NA NA 1 2 NA 1 NA NA 10
"633" "mmu-miR-1934-5p" NA NA 6 NA NA 2 NA NA 1 NA NA NA NA 2 NA 1 NA NA 2 5 NA NA 1 NA
"634" "mmu-miR-1946a" NA NA 7 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"635" "mmu-miR-1969" NA NA 15 1 NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA 2 NA
"636" "mmu-miR-2137" NA NA 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"637" "mmu-miR-21c" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"638" "mmu-miR-292a-3p" NA NA 2 6 7 NA NA 1 2 2 1 NA NA NA NA 1 6 NA 5 NA 11 5 16 3
"639" "mmu-miR-302a-3p" NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"640" "mmu-miR-3064-5p" NA NA 34 4 5 6 NA 1 2 4 2 NA NA NA NA NA 4 NA 3 14 4 NA 9 NA
"641" "mmu-miR-3067-5p" NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"642" "mmu-miR-3470b" NA NA 6 2 NA 1 NA NA 1 NA NA NA NA NA NA NA NA 1 5 NA 2 NA 1 NA
"643" "mmu-miR-3471" NA NA 8 NA NA 4 NA NA NA 1 NA NA NA 1 NA NA 4 NA NA NA NA NA 2 NA
"644" "mmu-miR-3473a" NA NA 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"645" "mmu-miR-3473e" NA NA 113 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"646" "mmu-miR-384-5p" NA NA 4 3 NA 8 NA NA NA NA NA NA 1 2 NA 4 9 NA 5 1 12 11 13 10
"647" "mmu-miR-3962" NA NA 1 NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"648" "mmu-miR-3963" NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"649" "mmu-miR-466h-3p" NA NA 12 5 NA 1 NA 1 NA 1 NA NA NA NA NA 1 NA 3 2 NA NA NA 4 NA
"650" "mmu-miR-466o-3p" NA NA 13 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA 3 NA
"651" "mmu-miR-504-5p" NA NA 1 1 NA 5 NA 1 3 NA 2 NA NA 1 NA NA 1 NA 1 NA 1 NA 5 4
"652" "mmu-miR-6236" NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"653" "mmu-miR-6402" NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"654" "mmu-miR-670-3p" NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 5 NA NA NA
"655" "mmu-miR-6951-5p" NA NA 3 3 NA NA NA NA 1 4 NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA
"656" "mmu-miR-6952-5p" NA NA 7 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"657" "mmu-miR-6955-3p" NA NA 13 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"658" "mmu-miR-6966-5p" NA NA 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"659" "mmu-miR-7033-5p" NA NA 12 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"660" "mmu-miR-706" NA NA 11 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"661" "mmu-miR-7073-5p" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 3 NA NA NA 1 NA
"662" "mmu-miR-7212-5p" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"663" "mmu-miR-7229-3p" NA NA 4 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"664" "mmu-miR-7647-3p" NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"665" "mmu-miR-7662-3p" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"666" "mmu-miR-8106" NA NA 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"667" "mmu-miR-1195" NA NA NA 1 3 2 NA NA NA NA NA NA 2 3 NA NA 4 NA NA 8 NA NA 1 NA
"668" "mmu-miR-12182-3p" NA NA NA 2 NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA 5 4 NA 3 NA
"669" "mmu-miR-128-1-5p" NA NA NA 1 NA 2 NA NA NA 2 NA NA NA NA NA NA 2 NA 2 NA 6 NA NA NA
"670" "mmu-miR-139-3p" NA NA NA 3 NA 7 NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA 4 NA 1 NA
"671" "mmu-miR-146a-3p" NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"672" "mmu-miR-154-5p" NA NA NA 8 5 1 NA 3 NA 1 NA NA NA NA NA NA 1 1 NA NA 3 25 9 1
"673" "mmu-miR-15a-3p" NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA 5 NA
"674" "mmu-miR-16-1-3p" NA NA NA 13 1 6 71 1 NA 7 NA NA 6 NA 22 NA 2 NA 4 NA NA NA 1 2
"675" "mmu-miR-190b-3p" NA NA NA 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"676" "mmu-miR-194-2-3p" NA NA NA 2 NA 8 NA 3 1 1 2 NA NA NA NA NA 3 19 NA NA 1 NA 7 19
"677" "mmu-miR-1947-5p" NA NA NA 1 NA 2 NA NA NA 3 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA
"678" "mmu-miR-1b-3p" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA 2 NA
"679" "mmu-miR-202-3p" NA NA NA 3 NA 3 NA 4 1 NA NA NA NA 1 NA 3 7 NA 2 NA NA NA 1 NA
"680" "mmu-miR-216a-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"681" "mmu-miR-216a-5p" NA NA NA 4 NA 3 NA NA 3 1 NA NA NA NA NA NA 3 NA NA NA NA NA 3 NA
"682" "mmu-miR-219c-5p" NA NA NA 4 NA 9 NA 3 1 3 NA 1 NA NA NA 9 NA NA 2 NA NA NA NA NA
"683" "mmu-miR-291a-5p" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"684" "mmu-miR-292a-5p" NA NA NA 3 NA NA NA NA 1 NA 2 NA NA NA NA 2 3 NA NA NA 3 NA 8 NA
"685" "mmu-miR-3057-5p" NA NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA 3
"686" "mmu-miR-3058-5p" NA NA NA 2 2 3 NA NA 1 NA NA NA NA 6 NA NA 3 NA 1 1 NA NA 3 NA
"687" "mmu-miR-3060-3p" NA NA NA 4 NA 1 NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"688" "mmu-miR-3061-5p" NA NA NA 4 NA NA NA 1 NA NA NA NA NA NA 14 NA NA NA NA NA 2 NA 5 NA
"689" "mmu-miR-3091-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"690" "mmu-miR-3097-3p" NA NA NA 1 NA 3 NA NA NA NA 1 NA NA NA NA NA 1 NA NA NA 3 NA NA NA
"691" "mmu-miR-3105-3p" NA NA NA 4 NA NA NA NA NA NA 1 NA NA NA 9 NA 1 NA 1 NA NA NA NA NA
"692" "mmu-miR-3109-3p" NA NA NA 3 NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA 3 NA 1 NA NA NA
"693" "mmu-miR-3110-5p" NA NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"694" "mmu-miR-328-5p" NA NA NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"695" "mmu-miR-337-3p" NA NA NA 3 NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA 6 NA 7 5 NA
"696" "mmu-miR-341-3p" NA NA NA 1 NA 2 NA NA 3 NA NA NA NA NA NA 1 2 NA 1 4 NA NA 3 NA
"697" "mmu-miR-377-5p" NA NA NA 1 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 4 NA
"698" "mmu-miR-449a-3p" NA NA NA 4 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 3 NA
"699" "mmu-miR-450a-2-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"700" "mmu-miR-466e-5p" NA NA NA 2 NA NA NA NA NA 2 NA NA NA NA 43 NA NA NA NA NA 3 NA NA NA
"701" "mmu-miR-466j" NA NA NA 1 7 1 NA NA 1 2 NA NA 3 NA NA NA NA NA 1 NA 4 7 13 NA
"702" "mmu-miR-466m-5p" NA NA NA 5 7 2 NA NA 1 5 NA NA 2 NA NA NA 1 NA 4 NA 3 7 20 NA
"703" "mmu-miR-466q" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"704" "mmu-miR-468-3p" NA NA NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA 3 NA NA NA 3 NA 2 NA
"705" "mmu-miR-511-5p" NA NA NA 2 NA 2 NA 4 NA 1 NA NA NA NA NA NA 3 NA NA NA NA NA NA NA
"706" "mmu-miR-5113" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4
"707" "mmu-miR-5128" NA NA NA 7 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA
"708" "mmu-miR-5129-5p" NA NA NA 1 10 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA
"709" "mmu-miR-543-5p" NA NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 NA NA
"710" "mmu-miR-551b-3p" NA NA NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"711" "mmu-miR-665-3p" NA NA NA 2 NA 3 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"712" "mmu-miR-669b-3p" NA NA NA 1 NA 2 NA 1 NA 2 NA NA NA NA NA NA NA NA 2 6 1 20 7 NA
"713" "mmu-miR-669e-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"714" "mmu-miR-669g" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"715" "mmu-miR-669l-3p" NA NA NA 4 NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA 6 NA
"716" "mmu-miR-669m-5p" NA NA NA 5 7 2 NA NA 1 5 NA NA 2 NA NA NA 1 NA 4 NA 3 7 20 NA
"717" "mmu-miR-6907-3p" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1
"718" "mmu-miR-6926-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"719" "mmu-miR-6932-5p" NA NA NA 2 NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"720" "mmu-miR-6937-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"721" "mmu-miR-6968-3p" NA NA NA 4 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"722" "mmu-miR-700-5p" NA NA NA 4 4 4 NA NA 1 1 NA NA NA 1 NA 8 1 13 1 NA 6 NA 13 23
"723" "mmu-miR-7002-5p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"724" "mmu-miR-701-3p" NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"725" "mmu-miR-7021-5p" NA NA NA 2 5 NA NA 5 NA NA NA NA NA NA NA NA 1 8 NA 10 NA NA NA 1
"726" "mmu-miR-703" NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"727" "mmu-miR-7035-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"728" "mmu-miR-7079-3p" NA NA NA 3 NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 2 NA
"729" "mmu-miR-7210-3p" NA NA NA 2 4 NA NA NA 1 NA NA NA NA NA NA NA 3 NA NA NA 4 NA NA NA
"730" "mmu-miR-7234-3p" NA NA NA 3 NA NA NA NA NA NA NA NA NA NA 17 NA NA NA NA NA NA NA NA NA
"731" "mmu-miR-7650-5p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"732" "mmu-miR-7651-5p" NA NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"733" "mmu-miR-7653-3p" NA NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"734" "mmu-miR-7658-3p" NA NA NA 1 NA NA NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA
"735" "mmu-miR-7664-3p" NA NA NA 2 NA 1 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA
"736" "mmu-miR-7673-3p" NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"737" "mmu-miR-770-3p" NA NA NA 1 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA 1 NA
"738" "mmu-miR-883a-5p" NA NA NA 2 NA 1 NA NA NA NA NA NA NA NA NA NA 1 2 NA NA NA NA 2 NA
"739" "mmu-miR-883b-5p" NA NA NA 5 4 7 NA 3 NA NA NA NA NA NA NA NA 6 NA 3 NA NA 11 4 6
"740" "mmu-miR-3065-3p" NA NA NA NA 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"741" "mmu-miR-3109-5p" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA NA
"742" "mmu-miR-541-3p" NA NA NA NA 4 3 NA NA 2 NA NA NA 1 NA NA NA NA NA 1 5 NA NA 6 NA
"743" "mmu-miR-6540-3p" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA
"744" "mmu-miR-6936-3p" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"745" "mmu-miR-6948-3p" NA NA NA NA 3 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 2 NA
"746" "mmu-miR-6990-5p" NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"747" "mmu-miR-7116-3p" NA NA NA NA 1 NA NA 1 1 NA NA NA 2 NA NA NA NA NA 2 5 NA NA 1 NA
"748" "mmu-miR-7234-5p" NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"749" "mmu-miR-7236-3p" NA NA NA NA 1 NA NA 6 NA 2 NA NA NA NA NA NA 3 NA NA 2 NA NA 1 NA
"750" "mmu-miR-1187" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA 2 NA
"751" "mmu-miR-1197-3p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"752" "mmu-miR-12185-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA
"753" "mmu-miR-1298-5p" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 2 NA NA NA
"754" "mmu-miR-149-3p" NA NA NA NA NA 1 NA NA NA 5 NA NA NA NA NA NA NA NA NA 2 NA NA 1 NA
"755" "mmu-miR-155-3p" NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7
"756" "mmu-miR-1668" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"757" "mmu-miR-185-3p" NA NA NA NA NA 1 NA 1 NA 1 NA NA NA NA NA NA NA NA NA 5 1 NA 5 NA
"758" "mmu-miR-1933-3p" NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA
"759" "mmu-miR-1941-3p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 NA
"760" "mmu-miR-1970c-5p" NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"761" "mmu-miR-1b-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 3
"762" "mmu-miR-219a-2-3p" NA NA NA NA NA 4 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA
"763" "mmu-miR-297c-5p" NA NA NA NA NA 2 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"764" "mmu-miR-302b-3p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"765" "mmu-miR-3062-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 5 NA NA NA NA NA
"766" "mmu-miR-3064-3p" NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"767" "mmu-miR-3066-3p" NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA
"768" "mmu-miR-3069-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"769" "mmu-miR-3076-3p" NA NA NA NA NA 1 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA 4 NA 5 NA
"770" "mmu-miR-3076-5p" NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 4 NA NA NA NA NA
"771" "mmu-miR-3097-5p" NA NA NA NA NA 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"772" "mmu-miR-3101-5p" NA NA NA NA NA 1 NA 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 9
"773" "mmu-miR-323-3p" NA NA NA NA NA 2 NA NA NA 4 NA NA NA 2 NA 6 3 NA NA NA 4 NA 1 NA
"774" "mmu-miR-324-3p" NA NA NA NA NA 7 NA NA 3 NA NA NA NA NA NA NA 1 NA 2 NA NA NA NA NA
"775" "mmu-miR-325-3p" NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 4 NA
"776" "mmu-miR-346-5p" NA NA NA NA NA 2 NA 1 NA NA NA NA 1 NA NA NA 2 NA NA NA NA NA 1 NA
