"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"156" "mmu-miR-193b-3p" 23 4 NA 13 NA 2 NA 8 3 6 1 NA 5 4 9 9 16 48 6 NA 7 NA 24 67
"157" "mmu-miR-193b-5p" 1 NA NA NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA NA NA 1 NA 10 NA
"158" "mmu-miR-194-1-3p" 5 NA NA NA NA NA NA NA NA NA NA NA 8 NA NA NA 4 NA NA NA NA NA NA NA
"159" "mmu-miR-194-5p" 1580 238 1469 1249 572 1254 204 437 264 102 123 51 529 59 169 319 583 221 545 367 493 313 630 531
"160" "mmu-miR-1943-5p" 2 1 NA 5 NA 5 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 4 NA
"161" "mmu-miR-1948-3p" 1 NA 10 NA NA 3 NA NA NA NA NA NA NA NA NA 2 2 NA 2 NA NA NA 7 NA
"162" "mmu-miR-1949" 1 NA 8 4 NA NA NA 1 NA 3 NA NA NA NA NA NA 1 NA 2 NA 8 NA 4 NA
"163" "mmu-miR-1955-5p" 5 1 NA 9 NA 4 NA NA 2 NA NA NA NA NA NA 21 9 NA NA 4 11 4 9 NA
"164" "mmu-miR-195a-3p" 15 4 1 10 23 45 NA 11 14 12 NA NA 5 NA NA 15 24 NA 20 7 16 56 50 17
"165" "mmu-miR-195a-5p" 2052 313 1815 987 1201 1511 252 513 480 273 68 58 157 57 603 384 488 942 507 685 907 1140 1460 943
"166" "mmu-miR-1968-5p" 7 NA 10 6 NA 6 NA 4 3 3 NA 1 1 2 NA 2 NA NA 1 NA 9 NA 14 2
"167" "mmu-miR-196a-1-3p" 1 NA NA 2 NA 8 NA 3 NA NA NA 1 NA NA NA NA 1 NA 3 NA NA NA 1 NA
"168" "mmu-miR-196a-5p" 401 48 450 289 246 1276 117 160 188 220 38 24 56 19 135 324 167 232 385 261 446 2608 1792 360
"169" "mmu-miR-196b-3p" 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"170" "mmu-miR-196b-5p" 388 106 829 566 383 885 225 141 243 312 83 56 154 74 238 620 339 595 897 310 886 4741 2700 3083
"171" "mmu-miR-1970b-5p" 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 1 NA 15 NA NA NA NA NA 2
"172" "mmu-miR-1981-3p" 16 2 11 20 5 23 NA 9 5 1 5 NA 1 1 35 5 7 NA 22 6 8 12 16 10
"173" "mmu-miR-1981-5p" 72 27 114 51 49 126 39 20 25 32 14 4 21 11 80 52 51 43 59 38 75 105 160 106
"174" "mmu-miR-1982-3p" 2 NA NA NA NA 2 NA NA 2 NA NA NA NA NA NA NA 3 NA 2 NA 2 NA 4 NA
"175" "mmu-miR-1983" 1 1 3 16 1 10 NA 3 7 5 NA NA 5 NA NA 1 5 25 16 NA 20 NA 12 5
"176" "mmu-miR-199a-3p" 12803 2534 22058 15401 10982 42389 4490 7901 10264 5756 1058 793 3370 1173 7536 8643 12804 6469 10090 12852 26960 13620 28073 15984
"177" "mmu-miR-199a-5p" 6137 1029 3805 2717 2006 4339 1378 1545 1482 621 277 218 674 330 1235 1226 2433 1679 2164 2052 2587 2564 5022 5052
"178" "mmu-miR-199b-3p" 12803 2534 22058 15401 10982 42389 4490 7901 10264 5756 1058 793 3370 1173 7536 8643 12804 6469 10090 12852 26960 13620 28073 15984
"179" "mmu-miR-199b-5p" 348 94 311 426 200 456 56 111 147 119 28 28 78 33 176 180 444 409 370 328 418 338 1199 1205
"180" "mmu-miR-19a-3p" 79 4 116 168 61 140 132 12 13 55 2 7 24 4 96 13 156 214 73 54 160 37 281 37
"181" "mmu-miR-19b-1-5p" 1 NA NA NA NA 3 NA NA NA 4 NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA
"182" "mmu-miR-19b-3p" 530 123 781 1390 672 1366 1174 246 229 561 33 67 136 83 554 194 1171 1617 727 491 1679 602 2838 763
"183" "mmu-miR-1a-1-5p" 25 NA 2 1 NA 1 NA NA NA 1 NA NA NA NA NA NA 3 1 NA NA 8 23 NA 10
"184" "mmu-miR-1a-3p" 130561 305 9166 16640 7234 7776 1373 1120 4717 1849 367 438 7344 389 1886 2324 1855 26486 2621 12160 16738 78690 16070 12681
